id_sls,id_batch
1805121005006100,18050394
1805121005006200,18050394
1805121005006300,18050394
1805121005006400,18050394
1805121005006500,18050394
1805121005006600,18050394
1805121005006700,18050394
1805121005006800,18050394
1805121005006900,18050394
1805121005007000,18050394
1805121005007100,18050394
1805121005007200,18050394
1805121005007300,18050394
1805121005007400,18050394
1805121005007500,18050394
1805121006000100,18050395
1805121006000200,18050395
1805121006000300,18050395
1805121006000400,18050395
1805121006000500,18050395
1805121006000600,18050395
1805121006000700,18050395
1805121006000800,18050395
1805121006000900,18050395
1805121006001000,18050395
1805121006001100,18050395
1805121006001200,18050395
1805121006001300,18050395
1805121006001400,18050395
1805121006001500,18050395
1805121006001600,18050395
1805121006001700,18050395
1805121006001800,18050395
1805121006001900,18050396
1805121006002000,18050396
1805121006002100,18050396
1805121006002200,18050396
1805121007000100,18050396
1805121007000200,18050396
1805121007000300,18050396
1805121007000400,18050396
1805121007000500,18050396
1805121007000600,18050396
1805121007000700,18050396
1805121007000800,18050396
1805121007000900,18050396
1805121007001000,18050396
1805121007001100,18050396
1805121007001200,18050396
1805121007100200,18050396
1805122001000100,18050397
1805122001000200,18050397
1805122001000300,18050397
1805122001000400,18050397
1805122001000500,18050397
1805122001000600,18050397
1805122001000700,18050397
1805122001000800,18050397
1805122001000900,18050397
1805122001001000,18050397
1805122001001100,18050397
1805122001001200,18050397
1805122001001300,18050397
1805122002000100,18050397
1805122002000200,18050397
1805122002000300,18050397
1805122002000400,18050397
1805122002000500,18050397
1805122002000600,18050397
1805122002000700,18050397
1805122002000800,18050397
1805122002000900,18050397
1805122002001000,18050398
1805122002001100,18050398
1805122002001200,18050398
1805122002001300,18050398
1805122002001400,18050398
1805122002001500,18050398
1805122002001600,18050398
1805122003000100,18050398
1805122003000200,18050398
1805122003000300,18050398
1805122003000400,18050398
1805122003000500,18050398
1805122003000600,18050398
1805122003000700,18050398
1805122003000800,18050398
1805122003000900,18050398
1805122003001000,18050398
1805122003001100,18050398
1805122003001200,18050398
1805122003001300,18050398
1805122003001400,18050398
1805122003001500,18050398
1805122003001600,18050398
1805122003001700,18050398
1805122003001800,18050398
1805122004000100,18050399
1805122004000200,18050399
1805122004000300,18050399
1805122004000400,18050399
1805122004000500,18050399
1805122004000600,18050399
1805122004000700,18050399
1805122004000800,18050399
1805122004000900,18050399
1805122004001000,18050399
1805122004001100,18050399
1805122004001200,18050399
1805122004001300,18050399
1805122004001400,18050399
1805122004001500,18050399
1805122004001600,18050399
1805122004001700,18050399
1805122004001800,18050399
1805122004100100,18050399
1805122005000100,18050400
1805122005000200,18050400
1805122005000300,18050400
1805122005000400,18050400
1805122005000500,18050400
1805122005000600,18050400
1805122005000700,18050400
1805122005000800,18050400
1805122005000900,18050400
1805122005001000,18050400
1805122005001100,18050400
1805122005001200,18050400
1805122005001300,18050400
1805122005001400,18050400
1805122005001500,18050401
1805122005001600,18050401
1805122005001700,18050401
1805122005001800,18050401
1805122005001900,18050401
1805122006000100,18050401
1805122006000200,18050401
1805122006000300,18050401
1805122006000400,18050401
1805122006000500,18050401
1805122006000600,18050401
1805122006000700,18050401
1805122006000800,18050401
1805122006000900,18050401
1805122006001000,18050401
1805122006001100,18050401
1805122006001200,18050401
1805122007000100,18050402
1805122007000200,18050402
1805122007000300,18050402
1805122007000400,18050402
1805122007000500,18050402
1805122007000600,18050402
1805122007000700,18050402
1805122007000800,18050402
1805122007000900,18050402
1805122007001000,18050402
1805122007001100,18050402
1805122007001200,18050402
1805122008000100,18050402
1805122008000200,18050402
1805122008000300,18050402
1805122008000400,18050402
1805122008000500,18050402
1805122008000600,18050402
1805122008000700,18050402
1805122008000800,18050402
1805122008000900,18050402
1805122008001000,18050402
1805122008001100,18050402
1805122008001200,18050403
1805122008001300,18050403
1805122008001400,18050403
1805122008001500,18050403
1805122008001600,18050403
1805122008001700,18050403
1805122008001800,18050403
1805122008001900,18050403
1805122008002000,18050403
1805122008002100,18050403
1805122008002200,18050403
1805122008002300,18050403
1805122008002400,18050403
1805122009000100,18050403
1805122009000200,18050403
1805122009000300,18050403
1805122009000400,18050403
1805122009000500,18050403
1805122009000600,18050403
1805122009000700,18050403
1805122009000800,18050403
1805122009000900,18050403
1805122009001000,18050403
1805122009001100,18050403
1805122009001200,18050403
1805122009001300,18050403
1805122010000100,18050404
1805122010000200,18050404
1805122010000300,18050404
1805122010000400,18050404
1805122010000500,18050404
1805122010000600,18050404
1805122010000700,18050404
1805122010000800,18050404
1805122010000900,18050404
1805122010001000,18050404
1805122010001100,18050404
1805122010001200,18050404
1805122010001300,18050404
1805122010001400,18050404
1805122010001500,18050404
1805122010001600,18050404
1805130001000100,18050405
1805130001000200,18050405
1805130001000300,18050405
1805130001000400,18050405
1805130001000500,18050405
1805130001000600,18050405
1805130001000700,18050405
1805130001000800,18050405
1805130001000900,18050405
1805130001001000,18050405
1805130001001100,18050405
1805130001001200,18050405
1805130001001300,18050405
1805130001001400,18050405
1805130001001500,18050405
1805130001001600,18050406
1805130001001700,18050406
1805130001001800,18050406
1805130002000100,18050406
1805130002000200,18050406
1805130002000300,18050406
1805130002000400,18050406
1805130002000500,18050406
1805130002000600,18050406
1805130002000700,18050406
1805130002000800,18050406
1805130002000900,18050406
1805130002001000,18050406
1805130002001100,18050406
1805130002001200,18050406
1805130002001300,18050406
1805130002001400,18050406
1805130002001500,18050406
1805130011000100,18050407
1805130011000200,18050407
1805130011000300,18050407
1805130011000400,18050407
1805130011000500,18050407
1805130011000600,18050407
1805130011000700,18050407
1805130011000800,18050407
1805130011000900,18050407
1805130011001000,18050407
1805130011001100,18050407
1805130011001200,18050407
1805130011001300,18050407
1805130011001400,18050407
1805130011001500,18050407
1805130011001600,18050407
1805130011001700,18050407
1805130011001800,18050407
1805130011001900,18050407
1805130011002000,18050407
1805130011002100,18050407
1805130011002200,18050407
1805130011002300,18050407
1805130011002400,18050407
1805130011002500,18050407
1805130011002600,18050407
1805130011002700,18050408
1805130011002800,18050408
1805130011002900,18050408
1805130011003000,18050408
1805130011003100,18050408
1805130011003200,18050408
1805130011003300,18050408
1805130011003400,18050408
1805130011003500,18050408
1805130011003600,18050408
1805130011003700,18050408
1805130011003800,18050408
1805130011003900,18050408
1805130011004000,18050408
1805130012000100,18050408
1805130012000200,18050408
1805130012000300,18050408
1805130012000400,18050408
1805130012000500,18050408
1805130012000600,18050408
1805130012000700,18050408
1805130012000800,18050408
1805130013000100,18050409
1805130013000200,18050409
1805130013000300,18050409
1805130013000400,18050409
1805130013000500,18050409
1805130013000600,18050409
1805130013000700,18050409
1805130013000800,18050409
1805130013000900,18050409
1805130013001000,18050409
1805130013001100,18050409
1805130013001200,18050409
1805130013001300,18050409
1805130013001400,18050409
1805130013001500,18050409
1805130013001600,18050410
1805130013001700,18050410
1805130013001800,18050410
1805130013001900,18050410
1805130013002000,18050410
1805130014000100,18050410
1805130014000200,18050410
1805130014000300,18050410
1805130014000400,18050410
1805130014000500,18050410
1805130014000600,18050410
1805130014000700,18050410
1805130014000800,18050410
1805130014000900,18050410
1805130014001000,18050410
1805130014001100,18050410
1805130014001200,18050410
1805130014001300,18050411
1805130014001400,18050411
1805130014001500,18050411
1805130014001600,18050411
1805130014001700,18050411
1805130014001800,18050411
1805130014001900,18050411
1805130015000100,18050411
1805130015000200,18050411
1805130015000300,18050411
1805130015000400,18050411
1805130015000500,18050411
1805130015000600,18050411
1805130015000700,18050411
1805130015000800,18050411
1805130015000900,18050411
1805130015001000,18050411
1805130015001100,18050411
1805130015001200,18050412
1805130015001300,18050412
1805130015001400,18050412
1805130015001500,18050412
1805130015001600,18050412
